sample_id,strain1,strain2,chrom,start,end,length
SMI001-K02-B01-M03,0,1,Pf3D7_07_v3,80194,105304,25110
SMI001-K02-B01-M03,0,1,Pf3D7_07_v3,221631,619957,398326
SMI001-K02-B01-M03,0,1,Pf3D7_08_v3,362183,422166,59983
SMI001-K02-B01-M03,0,1,Pf3D7_08_v3,509018,672242,163224
SMI001-K02-B01-M03,0,1,Pf3D7_08_v3,674002,845861,171859
SMI001-K02-B01-M03,0,1,Pf3D7_08_v3,1225428,1341249,115821
SMI001-K02-B01-M03,0,1,Pf3D7_09_v3,416031,811232,395201
SMI001-K02-B01-M03,0,1,Pf3D7_10_v3,399698,1570149,1170451
SMI001-K02-B01-M03,0,1,Pf3D7_11_v3,110641,2003008,1892367
SMI001-K02-B01-M03,0,1,Pf3D7_12_v3,61435,122749,61314
SMI001-K02-B01-M03,0,1,Pf3D7_12_v3,379979,2155095,1775116
SMI001-K02-B01-M03,0,1,Pf3D7_13_v3,77901,2788579,2710678
SMI001-K02-B01-M03,0,1,Pf3D7_14_v3,35796,45271,9475
SMI001-K02-B01-M03,0,1,Pf3D7_14_v3,407424,475506,68082
SMI001-K02-B01-M03,0,1,Pf3D7_14_v3,1034851,2970085,1935234
SMI001-K02-B01-M03,0,1,Pf3D7_14_v3,3238019,3255607,17588
SMI002-K02-B01-M02,0,1,Pf3D7_01_v3,95518,532656,437138
SMI002-K02-B01-M02,0,1,Pf3D7_02_v3,582922,614624,31702
SMI002-K02-B01-M02,0,1,Pf3D7_02_v3,617482,862030,244548
SMI002-K02-B01-M02,0,1,Pf3D7_03_v3,71040,360119,289079
SMI002-K02-B01-M02,0,1,Pf3D7_03_v3,501455,654721,153266
SMI002-K02-B01-M02,0,1,Pf3D7_03_v3,752418,850847,98429
SMI002-K02-B01-M02,0,1,Pf3D7_03_v3,878750,1002946,124196
SMI002-K02-B01-M02,0,1,Pf3D7_04_v3,91817,115195,23378
SMI002-K02-B01-M02,0,1,Pf3D7_04_v3,255939,470382,214443
SMI002-K02-B01-M02,0,1,Pf3D7_04_v3,679043,888892,209849
SMI002-K02-B01-M02,0,1,Pf3D7_04_v3,903207,999012,95805
SMI002-K02-B01-M02,0,1,Pf3D7_04_v3,1006336,1143965,137629
SMI002-K02-B01-M02,0,1,Pf3D7_05_v3,39872,616768,576896
SMI002-K02-B01-M02,0,1,Pf3D7_05_v3,1038517,1321074,282557
SMI002-K02-B01-M02,0,1,Pf3D7_06_v3,74373,1111651,1037278
SMI002-K02-B01-M02,0,1,Pf3D7_07_v3,77194,609762,532568
SMI002-K02-B01-M02,0,1,Pf3D7_07_v3,627478,628263,785
SMI002-K02-B01-M02,0,1,Pf3D7_07_v3,635254,718071,82817
SMI002-K02-B01-M02,0,1,Pf3D7_07_v3,1171997,1354996,182999
SMI002-K02-B01-M02,0,1,Pf3D7_08_v3,826695,1289177,462482
SMI002-K02-B01-M02,0,1,Pf3D7_08_v3,1317740,1363211,45471
SMI002-K02-B01-M02,0,1,Pf3D7_09_v3,773035,1472334,699299
SMI002-K02-B01-M02,0,1,Pf3D7_10_v3,70764,1570149,1499385
SMI002-K02-B01-M02,0,1,Pf3D7_11_v3,110641,281726,171085
SMI002-K02-B01-M02,0,1,Pf3D7_11_v3,386092,1173924,787832
SMI002-K02-B01-M02,0,1,Pf3D7_11_v3,1595699,1935051,339352
SMI002-K02-B01-M02,0,1,Pf3D7_12_v3,377095,2155095,1778000
SMI002-K02-B01-M02,0,1,Pf3D7_13_v3,77901,106161,28260
SMI002-K02-B01-M02,0,1,Pf3D7_13_v3,1255528,1359289,103761
SMI002-K02-B01-M02,0,1,Pf3D7_13_v3,1466327,2107756,641429
SMI002-K02-B01-M02,0,1,Pf3D7_13_v3,2575636,2788579,212943
SMI002-K02-B01-M02,0,1,Pf3D7_14_v3,35796,475506,439710
SMI002-K02-B01-M02,0,1,Pf3D7_14_v3,481785,918720,436935
SMI002-K02-B01-M02,0,1,Pf3D7_14_v3,2020660,2451029,430369
SMI002-K02-B01-M02,0,1,Pf3D7_14_v3,2467008,3255607,788599
SMI005-K02-B01-M03,0,1,Pf3D7_02_v3,468251,693767,225516
SMI005-K02-B01-M03,0,1,Pf3D7_03_v3,140327,1002946,862619
SMI005-K02-B01-M03,0,1,Pf3D7_04_v3,91817,255939,164122
SMI005-K02-B01-M03,0,1,Pf3D7_04_v3,860538,910225,49687
SMI005-K02-B01-M03,0,1,Pf3D7_04_v3,999012,1143965,144953
SMI005-K02-B01-M03,0,1,Pf3D7_05_v3,39872,92082,52210
SMI005-K02-B01-M03,0,1,Pf3D7_05_v3,95628,147419,51791
SMI005-K02-B01-M03,0,1,Pf3D7_05_v3,150624,383150,232526
SMI005-K02-B01-M03,0,1,Pf3D7_05_v3,897486,1321074,423588
SMI005-K02-B01-M03,0,1,Pf3D7_06_v3,74373,285246,210873
SMI005-K02-B01-M03,0,1,Pf3D7_06_v3,304643,1294070,989427
SMI005-K02-B01-M03,0,1,Pf3D7_07_v3,77194,333500,256306
SMI005-K02-B01-M03,0,1,Pf3D7_07_v3,415137,432784,17647
SMI005-K02-B01-M03,0,1,Pf3D7_07_v3,452331,619957,167626
SMI005-K02-B01-M03,0,1,Pf3D7_07_v3,1171997,1380526,208529
SMI005-K02-B01-M03,0,1,Pf3D7_08_v3,75691,1275087,1199396
SMI005-K02-B01-M03,0,1,Pf3D7_08_v3,1289102,1297594,8492
SMI005-K02-B01-M03,0,1,Pf3D7_08_v3,1310687,1364499,53812
SMI005-K02-B01-M03,0,1,Pf3D7_09_v3,82153,764812,682659
SMI005-K02-B01-M03,0,1,Pf3D7_09_v3,853207,1419023,565816
SMI005-K02-B01-M03,0,1,Pf3D7_10_v3,557657,1565523,1007866
SMI005-K02-B01-M03,0,1,Pf3D7_11_v3,778298,2003008,1224710
SMI005-K02-B01-M03,0,1,Pf3D7_12_v3,61435,382400,320965
SMI005-K02-B01-M03,0,1,Pf3D7_12_v3,399327,458280,58953
SMI005-K02-B01-M03,0,1,Pf3D7_12_v3,806785,1670700,863915
SMI005-K02-B01-M03,0,1,Pf3D7_13_v3,77901,860281,782380
SMI005-K02-B01-M03,0,1,Pf3D7_13_v3,1890723,1891015,292
SMI005-K02-B01-M03,0,1,Pf3D7_13_v3,2063107,2788579,725472
SMI005-K02-B01-M03,0,1,Pf3D7_14_v3,35796,407424,371628
SMI005-K02-B01-M03,0,1,Pf3D7_14_v3,918720,3043747,2125027
SMI005-K02-B01-M03,0,1,Pf3D7_14_v3,3044236,3255607,211371
SMI006-K02-B01-M02,0,1,Pf3D7_01_v3,95518,180068,84550
SMI006-K02-B01-M02,0,1,Pf3D7_02_v3,179137,468251,289114
SMI006-K02-B01-M02,0,1,Pf3D7_02_v3,614624,692837,78213
SMI006-K02-B01-M02,0,1,Pf3D7_02_v3,805840,862030,56190
SMI006-K02-B01-M02,0,1,Pf3D7_03_v3,71040,221547,150507
SMI006-K02-B01-M02,0,1,Pf3D7_03_v3,878750,1002946,124196
SMI006-K02-B01-M02,0,1,Pf3D7_04_v3,91817,255939,164122
SMI006-K02-B01-M02,0,1,Pf3D7_04_v3,283484,414221,130737
SMI006-K02-B01-M02,0,1,Pf3D7_04_v3,630376,1101687,471311
SMI006-K02-B01-M02,0,1,Pf3D7_04_v3,1136615,1143965,7350
SMI006-K02-B01-M02,0,1,Pf3D7_05_v3,39872,1321074,1281202
SMI006-K02-B01-M02,0,1,Pf3D7_06_v3,74373,346856,272483
SMI006-K02-B01-M02,0,1,Pf3D7_06_v3,796597,1111651,315054
SMI006-K02-B01-M02,0,1,Pf3D7_07_v3,157969,158694,725
SMI006-K02-B01-M02,0,1,Pf3D7_07_v3,361356,1158082,796726
SMI006-K02-B01-M02,0,1,Pf3D7_07_v3,1218770,1380526,161756
SMI006-K02-B01-M02,0,1,Pf3D7_08_v3,75691,1312190,1236499
SMI006-K02-B01-M02,0,1,Pf3D7_09_v3,416031,1472334,1056303
SMI006-K02-B01-M02,0,1,Pf3D7_10_v3,70764,75884,5120
SMI006-K02-B01-M02,0,1,Pf3D7_10_v3,333340,335297,1957
SMI006-K02-B01-M02,0,1,Pf3D7_10_v3,808864,1254230,445366
SMI006-K02-B01-M02,0,1,Pf3D7_11_v3,355143,360271,5128
SMI006-K02-B01-M02,0,1,Pf3D7_11_v3,1993165,2003008,9843
SMI006-K02-B01-M02,0,1,Pf3D7_12_v3,61435,532133,470698
SMI006-K02-B01-M02,0,1,Pf3D7_12_v3,1670700,2155095,484395
SMI006-K02-B01-M02,0,1,Pf3D7_13_v3,77901,106161,28260
SMI006-K02-B01-M02,0,1,Pf3D7_13_v3,1891015,2410243,519228
SMI006-K02-B01-M02,0,1,Pf3D7_13_v3,2575636,2741236,165600
SMI006-K02-B01-M02,0,1,Pf3D7_14_v3,337415,918720,581305
SMI006-K02-B01-M02,0,1,Pf3D7_14_v3,1037043,1367225,330182
SMI006-K02-B01-M02,0,1,Pf3D7_14_v3,2020660,2061817,41157
SMI009-K02-B01-M02,0,1,Pf3D7_01_v3,95518,567657,472139
SMI009-K02-B01-M02,0,1,Pf3D7_02_v3,109248,805840,696592
SMI009-K02-B01-M02,0,1,Pf3D7_04_v3,679043,883380,204337
SMI009-K02-B01-M02,0,1,Pf3D7_04_v3,1095788,1143965,48177
SMI009-K02-B01-M02,0,1,Pf3D7_05_v3,39872,43677,3805
SMI009-K02-B01-M02,0,1,Pf3D7_05_v3,550392,564986,14594
SMI009-K02-B01-M02,0,1,Pf3D7_05_v3,937121,1038517,101396
SMI009-K02-B01-M02,0,1,Pf3D7_05_v3,1204155,1321074,116919
SMI009-K02-B01-M02,0,1,Pf3D7_06_v3,74373,796597,722224
SMI009-K02-B01-M02,0,1,Pf3D7_06_v3,1111651,1290024,178373
SMI009-K02-B01-M02,0,1,Pf3D7_06_v3,1290456,1294070,3614
SMI009-K02-B01-M02,0,1,Pf3D7_07_v3,77194,456262,379068
SMI009-K02-B01-M02,0,1,Pf3D7_07_v3,615869,1196326,580457
SMI009-K02-B01-M02,0,1,Pf3D7_07_v3,1202320,1380466,178146
SMI009-K02-B01-M02,0,1,Pf3D7_08_v3,529764,1152268,622504
SMI009-K02-B01-M02,0,1,Pf3D7_09_v3,283356,482799,199443
SMI009-K02-B01-M02,0,1,Pf3D7_10_v3,1285388,1570149,284761
SMI009-K02-B01-M02,0,1,Pf3D7_11_v3,110641,2003008,1892367
SMI009-K02-B01-M02,0,1,Pf3D7_12_v3,61435,682902,621467
SMI009-K02-B01-M02,0,1,Pf3D7_12_v3,1362616,2155095,792479
SMI009-K02-B01-M02,0,1,Pf3D7_13_v3,77901,155834,77933
SMI009-K02-B01-M02,0,1,Pf3D7_13_v3,816992,976005,159013
SMI009-K02-B01-M02,0,1,Pf3D7_13_v3,1310690,2788579,1477889
SMI009-K02-B01-M02,0,1,Pf3D7_14_v3,35796,106972,71176
SMI009-K02-B01-M02,0,1,Pf3D7_14_v3,512987,2733656,2220669
SMI009-K02-B01-M02,0,1,Pf3D7_14_v3,3098922,3255607,156685
SMI010-K02-B01-M01,0,1,Pf3D7_01_v3,339504,567657,228153
SMI010-K02-B01-M01,0,1,Pf3D7_02_v3,109248,862030,752782
SMI010-K02-B01-M01,0,1,Pf3D7_03_v3,71040,805130,734090
SMI010-K02-B01-M01,0,1,Pf3D7_04_v3,255939,891051,635112
SMI010-K02-B01-M01,0,1,Pf3D7_04_v3,999012,1042880,43868
SMI010-K02-B01-M01,0,1,Pf3D7_05_v3,131301,236079,104778
SMI010-K02-B01-M01,0,1,Pf3D7_05_v3,1288644,1321074,32430
SMI010-K02-B01-M01,0,1,Pf3D7_06_v3,74373,345483,271110
SMI010-K02-B01-M01,0,1,Pf3D7_06_v3,496187,824690,328503
SMI010-K02-B01-M01,0,1,Pf3D7_06_v3,1111651,1290456,178805
SMI010-K02-B01-M01,0,1,Pf3D7_07_v3,227275,499425,272150
SMI010-K02-B01-M01,0,1,Pf3D7_07_v3,619957,883904,263947
SMI010-K02-B01-M01,0,1,Pf3D7_07_v3,1119385,1170354,50969
SMI010-K02-B01-M01,0,1,Pf3D7_08_v3,398723,810631,411908
SMI010-K02-B01-M01,0,1,Pf3D7_08_v3,1201455,1278610,77155
SMI010-K02-B01-M01,0,1,Pf3D7_09_v3,706328,868611,162283
SMI010-K02-B01-M01,0,1,Pf3D7_09_v3,1014530,1472334,457804
SMI010-K02-B01-M01,0,1,Pf3D7_10_v3,70764,113505,42741
SMI010-K02-B01-M01,0,1,Pf3D7_10_v3,341106,538449,197343
SMI010-K02-B01-M01,0,1,Pf3D7_10_v3,561234,1254230,692996
SMI010-K02-B01-M01,0,1,Pf3D7_11_v3,918588,2003008,1084420
SMI010-K02-B01-M01,0,1,Pf3D7_12_v3,61435,382400,320965
SMI010-K02-B01-M01,0,1,Pf3D7_12_v3,845137,913124,67987
SMI010-K02-B01-M01,0,1,Pf3D7_13_v3,1404123,2575636,1171513
SMI010-K02-B01-M01,0,1,Pf3D7_14_v3,39964,590793,550829
SMI010-K02-B01-M01,0,1,Pf3D7_14_v3,918720,1307328,388608
SMI010-K02-B01-M01,0,1,Pf3D7_14_v3,2406952,2451690,44738
SMI010-K02-B01-M01,0,1,Pf3D7_14_v3,3084224,3255607,171383
SMI011-K02-B01-M03,0,1,Pf3D7_01_v3,95518,567657,472139
SMI011-K02-B01-M03,0,1,Pf3D7_02_v3,109248,805840,696592
SMI011-K02-B01-M03,0,1,Pf3D7_02_v3,834663,862030,27367
SMI011-K02-B01-M03,0,1,Pf3D7_03_v3,71040,1002946,931906
SMI011-K02-B01-M03,0,1,Pf3D7_04_v3,91817,695742,603925
SMI011-K02-B01-M03,0,1,Pf3D7_04_v3,766775,1143965,377190
SMI011-K02-B01-M03,0,1,Pf3D7_05_v3,39872,383150,343278
SMI011-K02-B01-M03,0,1,Pf3D7_05_v3,921360,1321074,399714
SMI011-K02-B01-M03,0,1,Pf3D7_06_v3,74373,1111651,1037278
SMI011-K02-B01-M03,0,1,Pf3D7_07_v3,480458,1109226,628768
SMI011-K02-B01-M03,0,1,Pf3D7_07_v3,1159773,1380526,220753
SMI011-K02-B01-M03,0,1,Pf3D7_08_v3,75691,1278610,1202919
SMI011-K02-B01-M03,0,1,Pf3D7_09_v3,89887,1472334,1382447
SMI011-K02-B01-M03,0,1,Pf3D7_10_v3,70764,185257,114493
SMI011-K02-B01-M03,0,1,Pf3D7_10_v3,222264,1570149,1347885
SMI011-K02-B01-M03,0,1,Pf3D7_11_v3,110641,753550,642909
SMI011-K02-B01-M03,0,1,Pf3D7_11_v3,1132096,2003008,870912
SMI011-K02-B01-M03,0,1,Pf3D7_12_v3,61435,382400,320965
SMI011-K02-B01-M03,0,1,Pf3D7_12_v3,1212825,1238648,25823
SMI011-K02-B01-M03,0,1,Pf3D7_13_v3,106161,795086,688925
SMI011-K02-B01-M03,0,1,Pf3D7_13_v3,1481332,1512247,30915
SMI011-K02-B01-M03,0,1,Pf3D7_13_v3,1528349,1891015,362666
SMI011-K02-B01-M03,0,1,Pf3D7_13_v3,2309043,2575636,266593
SMI011-K02-B01-M03,0,1,Pf3D7_14_v3,501766,631239,129473
SMI011-K02-B01-M03,0,1,Pf3D7_14_v3,918720,2451029,1532309
SMI011-K02-B01-M03,0,1,Pf3D7_14_v3,2614985,2615069,84
SMI011-K02-B01-M03,0,1,Pf3D7_14_v3,3027048,3197006,169958
SMI013-K02-B01-M03,0,1,Pf3D7_01_v3,95518,137258,41740
SMI013-K02-B01-M03,0,1,Pf3D7_01_v3,180172,516289,336117
SMI013-K02-B01-M03,0,1,Pf3D7_01_v3,528425,555388,26963
SMI013-K02-B01-M03,0,1,Pf3D7_02_v3,468251,843180,374929
SMI013-K02-B01-M03,0,1,Pf3D7_02_v3,855754,862030,6276
SMI013-K02-B01-M03,0,1,Pf3D7_03_v3,71040,1002946,931906
SMI013-K02-B01-M03,0,1,Pf3D7_04_v3,91817,144427,52610
SMI013-K02-B01-M03,0,1,Pf3D7_04_v3,255939,1032565,776626
SMI013-K02-B01-M03,0,1,Pf3D7_04_v3,1101687,1130666,28979
SMI013-K02-B01-M03,0,1,Pf3D7_05_v3,154819,1321074,1166255
SMI013-K02-B01-M03,0,1,Pf3D7_06_v3,74373,1294070,1219697
SMI013-K02-B01-M03,0,1,Pf3D7_07_v3,77194,105304,28110
SMI013-K02-B01-M03,0,1,Pf3D7_07_v3,376423,1285356,908933
SMI013-K02-B01-M03,0,1,Pf3D7_08_v3,169455,247238,77783
SMI013-K02-B01-M03,0,1,Pf3D7_08_v3,477060,486709,9649
SMI013-K02-B01-M03,0,1,Pf3D7_08_v3,509018,1079292,570274
SMI013-K02-B01-M03,0,1,Pf3D7_08_v3,1113495,1364499,251004
SMI013-K02-B01-M03,0,1,Pf3D7_09_v3,82153,1472334,1390181
SMI013-K02-B01-M03,0,1,Pf3D7_10_v3,70764,199483,128719
SMI013-K02-B01-M03,0,1,Pf3D7_10_v3,1318156,1570149,251993
SMI013-K02-B01-M03,0,1,Pf3D7_11_v3,110641,2003008,1892367
SMI013-K02-B01-M03,0,1,Pf3D7_12_v3,61435,2155095,2093660
SMI013-K02-B01-M03,0,1,Pf3D7_13_v3,77901,256854,178953
SMI013-K02-B01-M03,0,1,Pf3D7_13_v3,762355,769044,6689
SMI013-K02-B01-M03,0,1,Pf3D7_13_v3,792970,2788579,1995609
SMI013-K02-B01-M03,0,1,Pf3D7_14_v3,35796,2954801,2919005
SMI013-K02-B01-M03,0,1,Pf3D7_14_v3,3121296,3124670,3374
SMI014-K02-B01-M03,0,1,Pf3D7_01_v3,95518,567657,472139
SMI014-K02-B01-M03,0,1,Pf3D7_02_v3,109248,278302,169054
SMI014-K02-B01-M03,0,1,Pf3D7_02_v3,297229,862030,564801
SMI014-K02-B01-M03,0,1,Pf3D7_03_v3,71040,590480,519440
SMI014-K02-B01-M03,0,1,Pf3D7_03_v3,689276,1002946,313670
SMI014-K02-B01-M03,0,1,Pf3D7_04_v3,91817,156536,64719
SMI014-K02-B01-M03,0,1,Pf3D7_04_v3,255939,748262,492323
SMI014-K02-B01-M03,0,1,Pf3D7_04_v3,805221,999012,193791
SMI014-K02-B01-M03,0,1,Pf3D7_05_v3,69564,127859,58295
SMI014-K02-B01-M03,0,1,Pf3D7_05_v3,216203,1038517,822314
SMI014-K02-B01-M03,0,1,Pf3D7_05_v3,1114074,1204155,90081
SMI014-K02-B01-M03,0,1,Pf3D7_05_v3,1237394,1321074,83680
SMI014-K02-B01-M03,0,1,Pf3D7_06_v3,74373,1294070,1219697
SMI014-K02-B01-M03,0,1,Pf3D7_07_v3,77194,622939,545745
SMI014-K02-B01-M03,0,1,Pf3D7_07_v3,1229133,1380526,151393
SMI014-K02-B01-M03,0,1,Pf3D7_08_v3,75691,1364499,1288808
SMI014-K02-B01-M03,0,1,Pf3D7_09_v3,82153,416031,333878
SMI014-K02-B01-M03,0,1,Pf3D7_09_v3,586735,1472334,885599
SMI014-K02-B01-M03,0,1,Pf3D7_10_v3,70764,1570149,1499385
SMI014-K02-B01-M03,0,1,Pf3D7_11_v3,110641,2003008,1892367
SMI014-K02-B01-M03,0,1,Pf3D7_12_v3,61435,382400,320965
SMI014-K02-B01-M03,0,1,Pf3D7_12_v3,1054417,2155095,1100678
SMI014-K02-B01-M03,0,1,Pf3D7_13_v3,77901,2788579,2710678
SMI014-K02-B01-M03,0,1,Pf3D7_14_v3,35796,371725,335929
SMI014-K02-B01-M03,0,1,Pf3D7_14_v3,699548,918720,219172
SMI014-K02-B01-M03,0,1,Pf3D7_14_v3,1854863,1993465,138602
SMI014-K02-B01-M03,0,1,Pf3D7_14_v3,2451029,3255607,804578
SMI016-K02-B01-M02,0,1,Pf3D7_01_v3,95518,567657,472139
SMI016-K02-B01-M02,0,1,Pf3D7_02_v3,109248,862030,752782
SMI016-K02-B01-M02,0,1,Pf3D7_03_v3,71040,1002946,931906
SMI016-K02-B01-M02,0,1,Pf3D7_04_v3,91817,1143965,1052148
SMI016-K02-B01-M02,0,1,Pf3D7_05_v3,39872,118209,78337
SMI016-K02-B01-M02,0,1,Pf3D7_05_v3,216203,358424,142221
SMI016-K02-B01-M02,0,1,Pf3D7_05_v3,669320,1321074,651754
SMI016-K02-B01-M02,0,1,Pf3D7_06_v3,74373,796597,722224
SMI016-K02-B01-M02,0,1,Pf3D7_06_v3,799889,1294070,494181
SMI016-K02-B01-M02,0,1,Pf3D7_07_v3,77194,85131,7937
SMI016-K02-B01-M02,0,1,Pf3D7_07_v3,460942,496692,35750
SMI016-K02-B01-M02,0,1,Pf3D7_07_v3,619957,1380526,760569
SMI016-K02-B01-M02,0,1,Pf3D7_08_v3,75691,1364499,1288808
SMI016-K02-B01-M02,0,1,Pf3D7_09_v3,82153,1141801,1059648
SMI016-K02-B01-M02,0,1,Pf3D7_09_v3,1360864,1468714,107850
SMI016-K02-B01-M02,0,1,Pf3D7_10_v3,700215,1570149,869934
SMI016-K02-B01-M02,0,1,Pf3D7_11_v3,110641,1429069,1318428
SMI016-K02-B01-M02,0,1,Pf3D7_11_v3,1935051,2003008,67957
SMI016-K02-B01-M02,0,1,Pf3D7_12_v3,61435,1548670,1487235
SMI016-K02-B01-M02,0,1,Pf3D7_12_v3,1670700,2155095,484395
SMI016-K02-B01-M02,0,1,Pf3D7_13_v3,77901,560291,482390
SMI016-K02-B01-M02,0,1,Pf3D7_13_v3,585306,2788579,2203273
SMI016-K02-B01-M02,0,1,Pf3D7_14_v3,35796,475506,439710
SMI016-K02-B01-M02,0,1,Pf3D7_14_v3,918720,1202249,283529
SMI016-K02-B01-M02,0,1,Pf3D7_14_v3,2451029,3255607,804578
SMI017-K02-B01-M02,0,1,Pf3D7_01_v3,178474,179952,1478
SMI017-K02-B01-M02,0,1,Pf3D7_01_v3,190739,528425,337686
SMI017-K02-B01-M02,0,1,Pf3D7_02_v3,166372,862030,695658
SMI017-K02-B01-M02,0,1,Pf3D7_03_v3,71040,920967,849927
SMI017-K02-B01-M02,0,1,Pf3D7_04_v3,188719,428163,239444
SMI017-K02-B01-M02,0,1,Pf3D7_04_v3,541844,630298,88454
SMI017-K02-B01-M02,0,1,Pf3D7_04_v3,897099,901096,3997
SMI017-K02-B01-M02,0,1,Pf3D7_04_v3,992024,1100624,108600
SMI017-K02-B01-M02,0,1,Pf3D7_05_v3,92082,1038517,946435
SMI017-K02-B01-M02,0,1,Pf3D7_05_v3,1204155,1321074,116919
SMI017-K02-B01-M02,0,1,Pf3D7_06_v3,74373,1282691,1208318
SMI017-K02-B01-M02,0,1,Pf3D7_07_v3,463930,1380526,916596
SMI017-K02-B01-M02,0,1,Pf3D7_08_v3,75691,509018,433327
SMI017-K02-B01-M02,0,1,Pf3D7_08_v3,943578,1364499,420921
SMI017-K02-B01-M02,0,1,Pf3D7_09_v3,82153,595955,513802
SMI017-K02-B01-M02,0,1,Pf3D7_09_v3,686984,1472334,785350
SMI017-K02-B01-M02,0,1,Pf3D7_10_v3,70764,1254230,1183466
SMI017-K02-B01-M02,0,1,Pf3D7_10_v3,1387402,1570149,182747
SMI017-K02-B01-M02,0,1,Pf3D7_11_v3,110641,163420,52779
SMI017-K02-B01-M02,0,1,Pf3D7_11_v3,265114,2003008,1737894
SMI017-K02-B01-M02,0,1,Pf3D7_12_v3,61435,382400,320965
SMI017-K02-B01-M02,0,1,Pf3D7_12_v3,1116767,2155095,1038328
SMI017-K02-B01-M02,0,1,Pf3D7_13_v3,77901,1891015,1813114
SMI017-K02-B01-M02,0,1,Pf3D7_13_v3,2575636,2788579,212943
SMI017-K02-B01-M02,0,1,Pf3D7_14_v3,35796,2257195,2221399
SMI017-K02-B01-M02,0,1,Pf3D7_14_v3,2451029,3124731,673702
SMI017-K02-B01-M02,0,1,Pf3D7_14_v3,3193462,3255607,62145
SMI019-K02-B01-M03,0,1,Pf3D7_01_v3,95518,567657,472139
SMI019-K02-B01-M03,0,1,Pf3D7_02_v3,109248,862030,752782
SMI019-K02-B01-M03,0,1,Pf3D7_03_v3,71040,1002946,931906
SMI019-K02-B01-M03,0,1,Pf3D7_04_v3,91817,1143965,1052148
SMI019-K02-B01-M03,0,1,Pf3D7_05_v3,39872,1321074,1281202
SMI019-K02-B01-M03,0,1,Pf3D7_06_v3,74373,1283256,1208883
SMI019-K02-B01-M03,0,1,Pf3D7_07_v3,481542,1380526,898984
SMI019-K02-B01-M03,0,1,Pf3D7_08_v3,75691,1292327,1216636
SMI019-K02-B01-M03,0,1,Pf3D7_08_v3,1325910,1364499,38589
SMI019-K02-B01-M03,0,1,Pf3D7_09_v3,82153,416031,333878
SMI019-K02-B01-M03,0,1,Pf3D7_09_v3,723918,811232,87314
